CustomerID,sum_revenue,Tier
15039,19786.44,Gold
12731,18793.41,Gold
12471,18740.92,Gold
15159,18573.68,Gold
12678,17588.26,Gold
17428,17078.45,Gold
13881,16989.52,Gold
13767,16945.71,Gold
12921,16389.74,Gold
12901,16293.1,Gold
17677,16219.22,Gold
15856,16173.67,Gold
15189,15802.14,Gold
14051,15477.34,Gold
16839,15357.78,Gold
14031,14634.64,Gold
15513,14520.08,Gold
16133,14305.66,Gold
14866,14197.45,Gold
16705,13946.130000000001,Gold
12681,13677.59,Gold
12621,13612.07,Gold
12433,13375.87,Gold
12540,13309.04,Gold
12477,13117.01,Gold
17735,13110.02,Gold
14258,12650.08,Gold
15640,12433.34,Gold
13078,12432.28,Gold
15498,12396.46,Gold
16000,12393.7,Gold
12682,12288.22,Gold
12557,11990.960000000001,Gold
16525,11895.57,Gold
17340,11891.18,Gold
14606,11713.85,Gold
12939,11581.8,Gold
14607,11341.1,Gold
14194,11216.75,Gold
15125,11117.05,Gold
12409,11056.93,Gold
14895,11020.26,Gold
12971,10930.26,Gold
13340,10736.48,Silver
17581,10736.11,Silver
13319,10664.34,Silver
14769,10641.6,Silver
17139,10585.57,Silver
13113,10510.0,Silver
14062,10464.85,Silver
16779,10454.05,Silver
17107,10380.43,Silver
15615,10360.04,Silver
15251,10327.11,Silver
16180,10217.48,Silver
16843,10183.82,Silver
17865,10158.54,Silver
17706,10097.37,Silver
12590,9861.38,Silver
13199,9803.96,Silver
13001,9797.92,Silver
15078,9623.35,Silver
13458,9537.92,Silver
14733,9451.54,Silver
16523,9295.67,Silver
12709,9294.1,Silver
14667,9231.2,Silver
14367,9167.82,Silver
12744,9120.39,Silver
12567,9114.94,Silver
18092,9065.76,Silver
13969,8986.69,Silver
12451,8933.52,Silver
13488,8910.61,Silver
16033,8727.61,Silver
13090,8689.39,Silver
17243,8628.55,Silver
17306,8600.73,Silver
17017,8574.11,Silver
16656,8568.24,Silver
18139,8393.22,Silver
16558,8257.04,Silver
15358,8234.8,Silver
12683,8221.09,Silver
14056,8124.4,Silver
14936,8117.42,Silver
16672,8093.59,Silver
13854,8025.0199999999995,Silver
18109,7925.32,Silver
14952,7912.79,Silver
14849,7904.28,Silver
12428,7877.2,Silver
14796,7839.51,Silver
12435,7829.89,Silver
15290,7803.7699999999995,Silver
13629,7792.36,Silver
13093,7741.47,Silver
14527,7711.38,Silver
17811,7677.71,Silver
15044,7629.38,Silver
15194,7521.17,Silver
18172,7490.17,Silver
13263,7454.07,Silver
17396,7330.8,Silver
18229,7276.9,Silver
13018,7272.75,Silver
12583,7187.34,Silver
16745,7170.7,Silver
12474,7116.47,Silver
12980,7092.06,Silver
16729,7076.28,Silver
13324,7072.8,Silver
16873,7066.31,Silver
13985,7024.53,Silver
14961,7006.58,Silver
12766,6989.63,Silver
12798,6977.04,Silver
15465,6945.0199999999995,Silver
13027,6912.0,Silver
12989,6854.51,Silver
16187,6841.24,Silver
16713,6840.2300000000005,Silver
17416,6838.34,Silver
12705,6814.24,Silver
15023,6763.16,Silver
18055,6752.14,Silver
16532,6748.8,Silver
12830,6748.4,Silver
15601,6745.360000000001,Silver
